iter	RMSE
0	596.7980474
1	579.5602756
2	562.821094
3	547.6323637
4	534.5871497
5	517.9867646
6	504.1072289
7	489.2962867
8	474.6326506
9	461.9487813
10	448.8287857
11	436.8126262
12	424.2229713
13	412.0032251
14	399.5345485
15	388.1906699
16	377.4040132
17	367.4019395
18	356.5546843
19	346.8959439
20	337.3714764
21	330.7327444
22	321.1266148
23	313.1074892
24	305.8016542
25	297.4934316
26	290.0970748
27	282.6753266
28	275.876796
29	268.6182344
30	261.8525569
31	255.7475522
32	249.4077793
33	243.9409005
34	239.1208773
35	233.2040757
36	227.7491068
37	222.3627936
38	217.4932955
39	212.9664579
40	208.0842813
41	203.5211368
42	198.9671058
43	194.4849331
44	190.5306873
45	186.4931694
46	182.3494603
47	178.7699333
48	175.1713354
49	172.3279154
50	169.0042583
51	166.1460566
52	163.0021024
53	160.6698432
54	157.6310596
55	154.642215
56	151.6158657
57	149.3560008
58	146.8642681
59	144.3298755
60	141.9842161
61	139.6007102
62	137.2904281
63	135.0704807
64	133.3149845
65	131.6589436
66	129.9374209
67	128.1891096
68	126.3218004
69	124.6729552
70	123.3183575
71	121.9633163
72	120.7141929
73	119.2367362
74	117.3235871
75	115.8864205
76	114.3773384
77	113.0442454
78	111.9362101
79	110.4367381
80	109.2153832
81	107.7920183
82	106.7388082
83	106.2321246
84	105.1494301
85	104.2003184
86	103.1692872
87	102.2074615
88	101.1457032
89	100.0836533
90	99.09724147
91	98.38887626
92	97.35106998
93	96.45898242
94	95.51874196
95	94.75722092
96	94.04482488
97	93.26236547
98	92.06716324
99	91.16343345
100	90.14196185
101	89.44675453
102	88.5805206
103	87.89281808
104	86.89886028
105	86.2654711
106	85.68896369
107	84.99093303
108	84.47452127
109	83.55988197
110	82.96856125
111	82.53413568
112	82.05833975
113	81.47011568
114	80.63105632
115	80.09921149
116	79.33679318
117	78.81727423
118	78.38106912
119	77.45469757
120	76.95052684
121	76.45185268
122	75.83874817
123	75.48724102
124	75.12833486
125	74.28177747
126	73.59360393
127	73.29208934
128	72.63302952
129	72.32752656
130	71.81227502
131	71.57188447
132	70.95340359
133	70.45596106
134	70.19881715
135	69.85918025
136	69.54279742
137	68.75319977
138	68.3971979
139	68.17288957
140	67.71787986
141	67.50852261
142	67.02137092
143	66.67467275
144	66.3864996
145	66.03971136
146	65.71489916
147	65.38460442
148	65.08145916
149	64.82215644
150	64.15604891
151	63.74054852
152	63.46591581
153	63.22784404
154	62.59823719
155	62.16065135
156	61.93790932
157	61.67855158
158	61.08909753
159	60.94136653
160	60.58455854
161	60.29606171
162	60.10156339
163	59.94498247
164	59.83068068
165	59.46623543
166	59.14429358
167	59.00022231
168	58.51090324
169	58.27606908
170	57.96858992
171	57.71223214
172	57.37732159
173	57.03951576
174	56.86741573
175	56.72688137
176	56.41700191
177	56.34536717
178	56.01660114
179	55.6856866
180	55.59080633
181	55.52422511
182	55.46600752
183	55.31948033
184	54.9541073
185	54.78345724
186	54.6092874
187	54.25309866
188	53.90849658
189	53.78353814
190	53.64893529
191	53.52266836
192	53.1740812
193	53.04423785
194	52.59063877
195	52.44121621
196	52.32207475
197	52.03337943
198	51.80460676
199	51.743701
200	51.58111696
201	51.31296181
202	51.17841156
203	51.1295456
204	50.87257698
205	50.66589041
206	50.41510985
207	50.2504421
208	50.08578283
209	49.78762898
210	49.66190769
211	49.58806057
212	49.31835069
213	49.27767571
214	49.23646701
215	49.17024613
216	49.08076688
217	48.85626298
218	48.78317164
219	48.49748152
220	48.35471847
221	48.20174772
222	48.12575713
223	47.84769842
224	47.81665947
225	47.76699202
226	47.66834322
227	47.41796832
228	47.26861421
229	47.22913065
230	47.20241215
231	47.09978737
232	46.6452544
233	46.60500236
234	46.16347098
235	45.97834106
236	45.93975245
237	45.7892572
238	45.76165932
239	45.67865026
240	45.45672974
241	45.37628802
242	44.9580956
243	44.93699421
244	44.5303468
245	44.26950923
246	44.24951444
247	44.00234013
248	43.97383883
249	43.85432913
250	43.70877515
251	43.47651235
252	43.10074257
253	43.06849946
254	42.99479672
255	42.64179789
256	42.62419281
257	42.48899924
258	42.13042111
259	42.01092297
260	41.98659856
261	41.63936205
262	41.57048024
263	41.42069496
264	41.30548386
265	41.11458932
266	40.98483893
267	40.65455526
268	40.47256887
269	40.42800839
270	40.3227781
271	40.25592661
272	40.23589004
273	40.21557028
274	39.90267156
275	39.77336027
276	39.62759164
277	39.32529224
278	39.31118655
279	39.24981356
280	39.15106205
281	38.85600319
282	38.71724638
283	38.42583076
284	38.31700388
285	38.29870895
286	38.28215352
287	38.06404245
288	38.01966892
289	37.73586179
290	37.72414988
291	37.51509473
292	37.24110372
293	37.11679905
294	36.83358572
295	36.63831702
296	36.52311905
297	36.28839817
298	36.13546837
299	36.11905769
300	35.948556
301	35.79228397
302	35.69127833
303	35.43694286
304	35.29460646
305	35.05085811
306	34.9556153
307	34.87985162
308	34.78759921
309	34.68008647
310	34.65632271
311	34.47986647
312	34.45807374
313	34.3570096
314	34.26117951
315	34.22283404
316	34.19065154
317	34.15417931
318	33.92799132
319	33.70997167
320	33.6608291
321	33.61966234
322	33.43633518
323	33.40111015
324	33.2811072
325	33.14795825
326	33.03556492
327	33.01158193
328	32.96037789
329	32.86970298
330	32.69269813
331	32.49908973
332	32.42044518
333	32.38651741
334	32.21896953
335	32.05667189
336	31.92729558
337	31.89496587
338	31.74672877
339	31.6522968
340	31.53764972
341	31.45559367
342	31.39667351
343	31.26204831
344	31.1694502
345	31.01442016
346	30.93704485
347	30.85865137
348	30.77188138
349	30.70414315
350	30.62236641
351	30.50351777
352	30.42056938
353	30.38735575
354	30.3755683
355	30.29784159
356	30.25348355
357	30.18839257
358	30.16624513
359	30.06606135
360	29.98626409
361	29.91276853
362	29.83715363
363	29.69464798
364	29.66583359
365	29.6475379
366	29.61958378
367	29.52685363
368	29.5008105
369	29.48097088
370	29.45630111
371	29.42969713
372	29.4201168
373	29.38979852
374	29.32796483
375	29.18930294
376	29.16639732
377	29.0519177
378	28.98156895
379	28.92230219
380	28.88199765
381	28.77024946
382	28.73176582
383	28.71063314
384	28.68910485
385	28.68102043
386	28.61604739
387	28.60644703
388	28.49984695
389	28.47931668
390	28.39041912
391	28.35061431
392	28.31490287
393	28.2969074
394	28.24880799
395	28.22680284
396	28.19328848
397	28.12324771
398	28.07662794
399	28.05947408
400	28.03787759
401	27.99714543
402	27.95271839
403	27.84222279
404	27.78392005
405	27.74461224
406	27.63610864
407	27.55365588
408	27.44698092
409	27.41342284
410	27.34742198
411	27.34171832
412	27.28947022
413	27.23453862
414	27.21046673
415	27.17454256
416	27.13229083
417	27.11298598
418	27.08375004
419	27.05462446
420	27.00417444
421	26.94521038
422	26.88372434
423	26.84934175
424	26.80722617
425	26.71544896
426	26.69074961
427	26.673709
428	26.66281687
429	26.65531528
430	26.61401283
431	26.5830988
432	26.54307803
433	26.44043602
434	26.3417012
435	26.30905672
436	26.21207983
437	26.15923167
438	26.05920972
439	26.02062474
440	26.00561258
441	25.92492499
442	25.83881459
443	25.74394557
444	25.71662509
445	25.63710348
446	25.60770413
