feature,importance
Calificación,0.2543564104525275
cal_norm,0.24308018716825552
indice_valor,0.1337117550513872
nivel_servicios_Alto,0.05902550870509778
reputacion_norm,0.04551070417136472
Reputación_online_Alta,0.04512310767062636
reputacion_score,0.04392396637261736
Limpieza_Excelente,0.028253440011057524
nivel_servicios_Bajo,0.026518440238622095
Reputación_online_Media,0.02599244954980541
Reputación_online_Baja,0.024052993379791776
limpieza_norm,0.021733576702371124
limpieza_score,0.02138248298126746
Limpieza_Regular,0.02127326914202327
Limpieza_Buena,0.001396228430514357
nivel_servicios_Medio,0.0011678520208644847
Spa_gimnasio,0.0010211220845611196
Restaurante,0.0004602436612861608
PetFriendly,0.0004511338070557939
Sostenibilidad,0.00040808419470142855
Desayuno_incluido,0.0002948883409552356
Parqueadero,0.0002026639348561664
Atención_personal,0.00020100429713483498
Canal_reserva_Airbnb,5.67402230631736e-05
WiFi,5.610595253728916e-05
